x	y	ystat	ysys
22.5	6.0391	-0.0389	-0.3768
27.5	6.6932	-0.0585	-0.4169
32.5	7.2389	-0.0833	-0.4502
37.5	7.5273	-0.1191	-0.4681
45	8.0066	-0.118	-0.4977
55	8.8024	-0.2066	-0.547
65	9.2358	-0.3705	-0.5737
75	9.6883	-0.4826	-0.6002
90	10.6837	-0.6624	-0.6629

