x	y	ystat	ysys
22.5	7.3534	-0.0635	-0.5107
27.5	7.9291	-0.0949	-0.5485
32.5	8.7394	-0.126	-0.6212
37.5	9.2466	-0.1792	-0.7469
45	9.1507	-0.1765	-0.629
55	10.0628	-0.3205	-0.6901
65	10.761	-0.4931	-0.7381
75	12.6139	-0.8874	-1.4648
90	11.7754	-0.9372	-0.8017
